tour,slam,dimension,group_value,completed_non_retirement_matches,both_ranked_non_ties,lower_ranked_winner,both_seeded_non_ties,lower_seeded_winner,seed_order_non_ties,lower_seed_order_winner,lower_ranked_winner_per_100,lower_seeded_winner_per_100,lower_seed_order_winner_per_100,interpretation,robustness_version
WTA,US Open,all,all,4758,4703,1285,523,164,2846,592,27.322985328513713,31.35755258126195,20.801124385101897,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
WTA,US Open,era,1988-1999,1502,1476,394,106,31,673,101,26.693766937669377,29.245283018867923,15.0074294205052,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
WTA,US Open,era,2000-2009,1260,1243,300,170,49,839,168,24.13515687851971,28.823529411764707,20.0238379022646,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
WTA,US Open,era,2010-2019,1247,1244,378,156,57,832,205,30.385852090032156,36.53846153846154,24.639423076923077,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
WTA,US Open,era,2020-2025,749,740,213,91,27,502,118,28.783783783783782,29.67032967032967,23.50597609561753,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
WTA,US Open,round,F,38,35,14,32,13,37,15,40.0,40.625,40.54054054054054,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
WTA,US Open,round,QF,149,147,45,110,35,144,44,30.612244897959183,31.818181818181817,30.555555555555557,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
WTA,US Open,round,R128,2401,2366,692,0,0,992,170,29.247675401521555,,17.137096774193548,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
WTA,US Open,round,R16,302,300,85,164,56,280,80,28.333333333333332,34.146341463414636,28.571428571428573,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
WTA,US Open,round,R32,598,594,141,156,43,507,111,23.737373737373737,27.564102564102566,21.893491124260354,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
WTA,US Open,round,R64,1196,1188,284,0,0,812,148,23.905723905723907,,18.226600985221676,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
WTA,US Open,round,SF,74,73,24,61,17,74,24,32.87671232876713,27.868852459016395,32.432432432432435,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
WTA,US Open,seed_field_regime,observed_max_seed_1_16,1501,1479,377,108,31,682,98,25.49019607843137,28.703703703703702,14.36950146627566,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
WTA,US Open,seed_field_regime,observed_max_seed_above_16,3257,3224,908,415,133,2164,494,28.16377171215881,32.04819277108434,22.828096118299445,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
WTA,Wimbledon,all,all,4635,4599,1349,430,136,2701,621,29.332463579038922,31.627906976744185,22.99148463532025,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
